Liverpool were humiliated at Old Trafford - now they&#039;re strong enough to take their revenge, Liverpool are unbeaten since their 3-0 defeat by Manchester United the result has proven to be the catalyst for Brendan Rodgers' revival, http://www.mirror.co.uk/sport/football/news/liverpool-were-humiliated-old-trafford-5367972, http://i1.mirror.co.uk/incoming/article5253383.ece/alternates/s615/Liverpool-v-Manchester-City.jpg, Liverpool FC-Manchester United FC-Brendan Rodgers, 2015-03-22T09:19+0000
Roberto Martinez taking nothing for granted as he pins Everton&#039;s survival hopes on Romelu Lukaku, The Toffees are 14th in the Premier League but manager Martinez believes no one is safe until the hit the magic 40-point mark, http://www.mirror.co.uk/sport/football/news/roberto-martinez-taking-nothing-granted-5377576, http://i4.mirror.co.uk/incoming/article5365945.ece/alternates/s615/Dynamo-Kiev-v-Everton.jpg, Everton FC-Romelu Lukaku-Roberto Martinez, 2015-03-21T22:30+0000
Newcastle 1-2 Arsenal player ratings: Who was YOUR man of the match at St James&#039; Park, A double from Olivier Giroud was enough for the Gunners despite Mohamed Sissoko making for a nervy second half for the visitors, http://www.mirror.co.uk/sport/football/news/newcastle-1-2-arsenal-player-ratings-5377134, http://i1.mirror.co.uk/incoming/article5376488.ece/alternates/s615/Newcastle-v-Arsenal.jpg, Newcastle United FC-Arsenal FC-Premier League, 2015-03-21T17:23+0000
Liverpool vs Man United: Emre Can would probably be playing for Sunday&#039;s VISITORS if Moyes was still manager, Defender who was already lined up before the Scot got sacked in April on deal that fell through why he's NOT the new Schweinsteiger and twice rejecting Bayern, http://www.mirror.co.uk/sport/football/news/liverpool-vs-man-united-emre-5371117, http://i4.mirror.co.uk/incoming/article5295471.ece/alternates/s615/Liverpool-v-Blackburn-Rovers-FA-Cup-Quarter-Final.jpg, Emre Can-Liverpool vs Manchester United-Liverpool FC, 2015-03-20T22:30+0000
Jonas Gutierrez feels &#039;born again&#039; after making Newcastle return since recovery from cancer battle, The Argentine was diagnosed with testicular cancer last September and made his playing comeback during their 1-0 defeat to Manchester United, http://www.mirror.co.uk/sport/football/news/jonas-gutierrez-feels-born-again-5372872, http://i2.mirror.co.uk/incoming/article5275328.ece/alternates/s615/Newcastle-v-Manchester-United.jpg, Newcastle United FC-Jonas Gutierrez, 2015-03-20T19:33+0000
Liverpool were humiliated at Old Trafford - now they&#039;re strong enough to take their revenge, Liverpool are unbeaten since their 3-0 defeat by Manchester United the result has proven to be the catalyst for Brendan Rodgers' revival, http://www.mirror.co.uk/sport/football/news/liverpool-were-humiliated-old-trafford-5367972, http://i1.mirror.co.uk/incoming/article5253383.ece/alternates/s615/Liverpool-v-Manchester-City.jpg, Liverpool FC-Manchester United FC-Brendan Rodgers, 2015-03-22T09:19+0000
Louis van Gaal must ensure that Manchester United&#039;s display against Spurs was not just a false dawn, The Red Devils rolled back the years to put Tottenham to the sword on Sunday but must build on that display against Liverpool, http://www.mirror.co.uk/sport/football/news/louis-van-gaal-must-ensure-5355224, http://i3.mirror.co.uk/incoming/article5356421.ece/alternates/s615/Van-Gaal-main.jpg, Manchester United FC-Louis van Gaal, 2015-03-22T09:19+0000
Liverpool vs Manchester United picture special: Classic photos from previous encounters, We've waded into the archives to bring your the best Liverpool versus Manchester United photos from down the years, http://www.mirror.co.uk/sport/football/news/liverpool-vs-manchester-united-picture-5356879, <no image>, Liverpool FC-Manchester United FC-Manchester United vs Liverpool-Liverpool vs Manchester United, 2015-03-22T09:18+0000
Liverpool vs Manchester United: 11 things you need to know as the Red Devils travel to Anfield, Brendan Rodgers' side will overtake the Red Devils into the top four with victory while Louis van Gaal will be looking for some breathing space over their great rivals, http://www.mirror.co.uk/sport/football/news/liverpool-vs-manchester-united-11-5366409, http://i3.mirror.co.uk/incoming/article4809186.ece/alternates/s615/Man-United-Liverpool.jpg, Liverpool FC-Manchester United FC-Premier League, 2015-03-22T09:18+0000
Barcelona vs Real Madrid: Who has the best blockbuster trio of strikers?, The two old rivals go head to head on Sunday in the latest Clasico - but who has the best forward line at their disposal, http://www.mirror.co.uk/sport/football/news/barcelona-vs-real-madrid-who-5356542, http://i3.mirror.co.uk/incoming/article5356482.ece/alternates/s615/Real-Vs-Barca-main.jpg, El Clasico-Karim Benzema-Lionel Messi-Gareth Bale-Luis Suarez-Cristiano Ronaldo-Neymar-FC Barcelona-Real Madrid CF, 2015-03-22T09:18+0000
Liverpool vs Manchester United quiz: Test your knowledge on English football&#039;s biggest rivalry, It's Friday so it's quiz time - just how well do you know your Liverpool versus Manchester United history?, http://www.mirror.co.uk/sport/football/news/liverpool-vs-manchester-united-quiz-5355741, http://i1.mirror.co.uk/incoming/article5365333.ece/alternates/s615/Liverpool-Man-U-main.jpg, Liverpool FC-Manchester United FC-Friday Football Quiz-Liverpool vs Manchester City-Liverpool vs Manchester United-Manchester United vs Liverpool, 2015-03-22T09:18+0000
Barcelona vs Real Madrid: 5 key battles, El Clasico sees La Liga's big two do battle once more with just a point between them - here's the key clashes that will shape the game at Camp Nou, http://www.mirror.co.uk/sport/football/news/barcelona-vs-real-madrid-5-5364069, http://i4.mirror.co.uk/incoming/article5368011.ece/alternates/s615/Real-Madrid-vs-Barcelona.jpg, El Clasico-el clasico-Real Madrid CF-FC Barcelona-La Liga, 2015-03-22T09:18+0000
Barcelona vs Real Madrid: 11 things you need to know as Lionel Messi and Cristiano Ronaldo go head to head, La Liga's top two side's meet in El Clasico with Barcelona looking for revenge after their 3-1 defeat earlier in the season, http://www.mirror.co.uk/sport/football/news/barcelona-vs-real-madrid-11-5366664, http://i2.mirror.co.uk/incoming/article5360229.ece/alternates/s615/Barcelona-v-Manchester-City.jpg, El Clasico-Real Madrid CF-FC Barcelona, 2015-03-22T09:18+0000
Best Bets for today&#039;s Premier League games: Liverpool vs Manchester United Hull vs Chelsea and QPR vs Everton, The Sunday Mirror's football betting expert kick-starts his 18/1 treble poke at Anfield..., http://www.mirror.co.uk/sport/football/news/best-bets-todays-premier-league-5372900, http://i1.mirror.co.uk/incoming/article5253383.ece/alternates/s615/Liverpool-v-Manchester-City.jpg, Manchester United FC-Hull City FC-Chelsea FC-Queens Park Rangers FC-Everton FC-Liverpool FC-Premier League-Liverpool vs Manchester United-Betting, 2015-03-22T09:15+0000
Big Match Verdict: Inept referees are making dire mistakes - and lawmakers must step in to help, Neil Swarbrick was the latest official to make a high-profile gaffe as refereeing levels drop even further - but now they must be helped, http://www.mirror.co.uk/sport/football/news/big-match-verdict-inept-referees-5379105, http://i1.mirror.co.uk/incoming/article5374796.ece/alternates/s615/Manchester-City-v-West-Brom.jpg, Referees-Premier League-West Bromwich Albion FC-Manchester City FC-Gareth McAuley, 2015-03-22T08:00+0000
Rob Green Danny Rose and Jack Butland added to England squad as Fraser Forster and Luke Shaw withdraw, The Three Lions face Lithuania next Friday in a European qualifier at Wembley before taking on Italy four days later in a friendly in Turin, http://www.mirror.co.uk/sport/football/news/rob-green-danny-rose-jack-5379279, http://i3.mirror.co.uk/incoming/article4677661.ece/alternates/s615/Newcastle-United-v-Queens-Park-Rangers-Barclays-Premier-League.jpg, England squad-Danny Rose-Luke Shaw-Jack Butland-Fraser Forster-Rob Green-England football team, 2015-03-21T22:49+0000
Manchester United boss Louis van Gaal insists he has no regrets about missing out on Liverpool job, Dutchman held talks with Reds in 2012 over Director of Football post before eventually moving to England to join their Premier League rivals last summer, http://www.mirror.co.uk/sport/football/news/manchester-united-boss-louis-van-5375850, http://i3.mirror.co.uk/incoming/article5301542.ece/alternates/s615/Manchester-United-v-Arsenal-FA-Cup-Quarter-Final.jpg, Manchester United FC-Liverpool FC-Louis van Gaal, 2015-03-21T22:30+0000
Liverpool keeper Simon Mignolet vows to keep his shirt after regaining place between the sticks, The Belgian was axed earlier this season following a poor run of form but has bounced back to help the Reds' push for a top-four finish, http://www.mirror.co.uk/sport/football/news/liverpool-keeper-simon-mignolet-vows-5376105, http://i4.mirror.co.uk/incoming/article5346661.ece/alternates/s615/Swansea-City-v-Liverpool-Premier-League.jpg, Liverpool FC-Simon Mignolet-Liverpool vs Manchester United, 2015-03-21T22:30+0000
Louis van Gaal reveals he could be at Manchester United for FIVE more years, Dutchman expects to see out the remaining two years of the contract he signed last summer - and could even sign an extension to remain at Old Trafford beyond 2017, http://www.mirror.co.uk/sport/football/news/louis-van-gaal-reveals-could-5376335, http://i2.mirror.co.uk/incoming/article5301994.ece/alternates/s615/Manchester-United-v-Arsenal-FA-Cup-Quarter-Final.jpg, Manchester United FC-Louis van Gaal, 2015-03-21T22:30+0000
QPR midfielder Karl Henry desperate to avoid the drop after Wolves heartbreak, The 32-year-old hopes interim boss Chris Ramsey can steer Hoops to survival and avoid repeat of 2012 Molineux misery, http://www.mirror.co.uk/sport/football/news/qpr-midfielder-karl-henry-desperate-5377338, http://i4.mirror.co.uk/incoming/article5333163.ece/alternates/s615/Crystal-Palace-v-QPR.jpg, Queens Park Rangers FC-Karl Henry, 2015-03-21T22:30+0000
Liverpool were humiliated at Old Trafford - now they&#039;re strong enough to take their revenge, Liverpool are unbeaten since their 3-0 defeat by Manchester United the result has proven to be the catalyst for Brendan Rodgers' revival, http://www.mirror.co.uk/sport/football/news/liverpool-were-humiliated-old-trafford-5367972, http://i1.mirror.co.uk/incoming/article5253383.ece/alternates/s615/Liverpool-v-Manchester-City.jpg, Liverpool FC-Manchester United FC-Brendan Rodgers, 2015-03-22T09:19+0000
Louis van Gaal must ensure that Manchester United&#039;s display against Spurs was not just a false dawn, The Red Devils rolled back the years to put Tottenham to the sword on Sunday but must build on that display against Liverpool, http://www.mirror.co.uk/sport/football/news/louis-van-gaal-must-ensure-5355224, http://i3.mirror.co.uk/incoming/article5356421.ece/alternates/s615/Van-Gaal-main.jpg, Manchester United FC-Louis van Gaal, 2015-03-22T09:19+0000
Liverpool vs Manchester United picture special: Classic photos from previous encounters, We've waded into the archives to bring your the best Liverpool versus Manchester United photos from down the years, http://www.mirror.co.uk/sport/football/news/liverpool-vs-manchester-united-picture-5356879, <no image>, Liverpool FC-Manchester United FC-Manchester United vs Liverpool-Liverpool vs Manchester United, 2015-03-22T09:18+0000
Liverpool vs Manchester United: 11 things you need to know as the Red Devils travel to Anfield, Brendan Rodgers' side will overtake the Red Devils into the top four with victory while Louis van Gaal will be looking for some breathing space over their great rivals, http://www.mirror.co.uk/sport/football/news/liverpool-vs-manchester-united-11-5366409, http://i3.mirror.co.uk/incoming/article4809186.ece/alternates/s615/Man-United-Liverpool.jpg, Liverpool FC-Manchester United FC-Premier League, 2015-03-22T09:18+0000
Barcelona vs Real Madrid: Who has the best blockbuster trio of strikers?, The two old rivals go head to head on Sunday in the latest Clasico - but who has the best forward line at their disposal, http://www.mirror.co.uk/sport/football/news/barcelona-vs-real-madrid-who-5356542, http://i3.mirror.co.uk/incoming/article5356482.ece/alternates/s615/Real-Vs-Barca-main.jpg, El Clasico-Karim Benzema-Lionel Messi-Gareth Bale-Luis Suarez-Cristiano Ronaldo-Neymar-FC Barcelona-Real Madrid CF, 2015-03-22T09:18+0000
Liverpool vs Manchester United quiz: Test your knowledge on English football&#039;s biggest rivalry, It's Friday so it's quiz time - just how well do you know your Liverpool versus Manchester United history?, http://www.mirror.co.uk/sport/football/news/liverpool-vs-manchester-united-quiz-5355741, http://i1.mirror.co.uk/incoming/article5365333.ece/alternates/s615/Liverpool-Man-U-main.jpg, Liverpool FC-Manchester United FC-Friday Football Quiz-Liverpool vs Manchester City-Liverpool vs Manchester United-Manchester United vs Liverpool, 2015-03-22T09:18+0000
Barcelona vs Real Madrid: 5 key battles, El Clasico sees La Liga's big two do battle once more with just a point between them - here's the key clashes that will shape the game at Camp Nou, http://www.mirror.co.uk/sport/football/news/barcelona-vs-real-madrid-5-5364069, http://i4.mirror.co.uk/incoming/article5368011.ece/alternates/s615/Real-Madrid-vs-Barcelona.jpg, El Clasico-el clasico-Real Madrid CF-FC Barcelona-La Liga, 2015-03-22T09:18+0000
Barcelona vs Real Madrid: 11 things you need to know as Lionel Messi and Cristiano Ronaldo go head to head, La Liga's top two side's meet in El Clasico with Barcelona looking for revenge after their 3-1 defeat earlier in the season, http://www.mirror.co.uk/sport/football/news/barcelona-vs-real-madrid-11-5366664, http://i2.mirror.co.uk/incoming/article5360229.ece/alternates/s615/Barcelona-v-Manchester-City.jpg, El Clasico-Real Madrid CF-FC Barcelona, 2015-03-22T09:18+0000
Best Bets for today&#039;s Premier League games: Liverpool vs Manchester United Hull vs Chelsea and QPR vs Everton, The Sunday Mirror's football betting expert kick-starts his 18/1 treble poke at Anfield..., http://www.mirror.co.uk/sport/football/news/best-bets-todays-premier-league-5372900, http://i1.mirror.co.uk/incoming/article5253383.ece/alternates/s615/Liverpool-v-Manchester-City.jpg, Manchester United FC-Hull City FC-Chelsea FC-Queens Park Rangers FC-Everton FC-Liverpool FC-Premier League-Liverpool vs Manchester United-Betting, 2015-03-22T09:15+0000
Big Match Verdict: Inept referees are making dire mistakes - and lawmakers must step in to help, Neil Swarbrick was the latest official to make a high-profile gaffe as refereeing levels drop even further - but now they must be helped, http://www.mirror.co.uk/sport/football/news/big-match-verdict-inept-referees-5379105, http://i1.mirror.co.uk/incoming/article5374796.ece/alternates/s615/Manchester-City-v-West-Brom.jpg, Referees-Premier League-West Bromwich Albion FC-Manchester City FC-Gareth McAuley, 2015-03-22T08:00+0000
Rob Green Danny Rose and Jack Butland added to England squad as Fraser Forster and Luke Shaw withdraw, The Three Lions face Lithuania next Friday in a European qualifier at Wembley before taking on Italy four days later in a friendly in Turin, http://www.mirror.co.uk/sport/football/news/rob-green-danny-rose-jack-5379279, http://i3.mirror.co.uk/incoming/article4677661.ece/alternates/s615/Newcastle-United-v-Queens-Park-Rangers-Barclays-Premier-League.jpg, England squad-Danny Rose-Luke Shaw-Jack Butland-Fraser Forster-Rob Green-England football team, 2015-03-21T22:49+0000
Manchester United boss Louis van Gaal insists he has no regrets about missing out on Liverpool job, Dutchman held talks with Reds in 2012 over Director of Football post before eventually moving to England to join their Premier League rivals last summer, http://www.mirror.co.uk/sport/football/news/manchester-united-boss-louis-van-5375850, http://i3.mirror.co.uk/incoming/article5301542.ece/alternates/s615/Manchester-United-v-Arsenal-FA-Cup-Quarter-Final.jpg, Manchester United FC-Liverpool FC-Louis van Gaal, 2015-03-21T22:30+0000
Liverpool keeper Simon Mignolet vows to keep his shirt after regaining place between the sticks, The Belgian was axed earlier this season following a poor run of form but has bounced back to help the Reds' push for a top-four finish, http://www.mirror.co.uk/sport/football/news/liverpool-keeper-simon-mignolet-vows-5376105, http://i4.mirror.co.uk/incoming/article5346661.ece/alternates/s615/Swansea-City-v-Liverpool-Premier-League.jpg, Liverpool FC-Simon Mignolet-Liverpool vs Manchester United, 2015-03-21T22:30+0000
Louis van Gaal reveals he could be at Manchester United for FIVE more years, Dutchman expects to see out the remaining two years of the contract he signed last summer - and could even sign an extension to remain at Old Trafford beyond 2017, http://www.mirror.co.uk/sport/football/news/louis-van-gaal-reveals-could-5376335, http://i2.mirror.co.uk/incoming/article5301994.ece/alternates/s615/Manchester-United-v-Arsenal-FA-Cup-Quarter-Final.jpg, Manchester United FC-Louis van Gaal, 2015-03-21T22:30+0000
QPR midfielder Karl Henry desperate to avoid the drop after Wolves heartbreak, The 32-year-old hopes interim boss Chris Ramsey can steer Hoops to survival and avoid repeat of 2012 Molineux misery, http://www.mirror.co.uk/sport/football/news/qpr-midfielder-karl-henry-desperate-5377338, http://i4.mirror.co.uk/incoming/article5333163.ece/alternates/s615/Crystal-Palace-v-QPR.jpg, Queens Park Rangers FC-Karl Henry, 2015-03-21T22:30+0000
Roberto Martinez taking nothing for granted as he pins Everton&#039;s survival hopes on Romelu Lukaku, The Toffees are 14th in the Premier League but manager Martinez believes no one is safe until the hit the magic 40-point mark, http://www.mirror.co.uk/sport/football/news/roberto-martinez-taking-nothing-granted-5377576, http://i4.mirror.co.uk/incoming/article5365945.ece/alternates/s615/Dynamo-Kiev-v-Everton.jpg, Everton FC-Romelu Lukaku-Roberto Martinez, 2015-03-21T22:30+0000
England boss Roy Hodgson takes another swipe at Liverpool over Kop club&#039;s in-house TV station, Three Lions chief lasted just six months as Liverpool manager between July 2010 and January 2011 before being replaced by Kenny Dalglish, http://www.mirror.co.uk/sport/football/news/england-boss-roy-hodgson-takes-5378901, http://i2.mirror.co.uk/incoming/article5375635.ece/alternates/s615/Tottenham-v-Leicester.jpg, England football team-Liverpool FC-Roy Hodgson, 2015-03-21T22:30+0000
David Moyes ready to reject West Ham approach to replace Sam Allardyce to stay at Real Sociedad, Speculation has been rife that the Scot was on the Hammers’ short-list to replace Allardyce if he is unable to reach agreement over the renewal of his contract, http://www.mirror.co.uk/sport/football/news/david-moyes-ready-reject-west-5378916, http://i1.mirror.co.uk/incoming/article5080673.ece/alternates/s615/Real-Madrid-CF-v-Real-Sociedad-de-Futbol-La-Liga.jpg, West Ham United FC-David Moyes, 2015-03-21T22:30+0000
Manchester United want Rio Ferdinand to spearhead Ajax-style coaching revolution at Old Trafford, Ferdinand had a distinguished twelve year career with the Red Devils - and they have earmarked a key role for their former star coaching their young defenders, http://www.mirror.co.uk/sport/football/news/manchester-united-want-rio-ferdinand-5378584, http://i4.mirror.co.uk/incoming/article3534298.ece/alternates/s615/Rio-Ferdinand.jpg, Manchester United FC-Queens Park Rangers FC-Rio Ferdinand, 2015-03-21T22:30+0000
Jose Mourinho has a watch for EVERY trophy he has won... now Chelsea boss is on countdown for No.22, Blues chief reveals he has 21 watches safely stored away to ­represent every success and is hoping to add another to his collection at the end of the season, http://www.mirror.co.uk/sport/football/news/jose-mourinho-watch-every-trophy-5376657, http://i1.mirror.co.uk/incoming/article5255865.ece/alternates/s615/Chelsea-v-Tottenham-Hotspur-Capital-One-Cup-Final.jpg, Chelsea FC-Jose Mourinho, 2015-03-21T22:30+0000
Manchester United fear £50m star David De Gea could leave for NOTHING next summer, Spanish keeper is refusing to sign a new deal at Old Trafford and could walk away for a fraction of his true worth at the end of the season, http://www.mirror.co.uk/sport/football/news/manchester-united-fear-50m-star-5375695, http://i2.mirror.co.uk/incoming/article5340392.ece/alternates/s615/Manchester-United-v-Tottenham.jpg, Manchester United FC-David de Gea, 2015-03-21T22:30+0000
Kolo Toure named in Ivory Coast squad... despite retiring after Africa Cup of Nations, The Liverpool defender is just that good that his country has called him up for games against Angola and Equatorial Guinea even though he's called it a day, http://www.mirror.co.uk/sport/football/news/kolo-toure-named-ivory-coast-5379113, http://i2.mirror.co.uk/incoming/article5130526.ece/alternates/s615/Ivory-Coast-winners-2015.jpg, Ivory Coast football team-Kolo Toure, 2015-03-21T21:48+0000
Rio Ferdinand&#039;s online gambling endorsement deal slammed as foul play by fans, QPR's former England and Manchester United defender has sparked an angry reaction after promoting the online casino via his Twitter account, http://www.mirror.co.uk/news/uk-news/rio-ferdinands-online-gambling-endorsement-5378030, http://i2.mirror.co.uk/incoming/article5376588.ece/alternates/s615/Rio-Ferdinand-Betting.jpg, Manchester United FC-Queens Park Rangers FC-Rio Ferdinand-Twitter-The FA-Sunday People-Gambling, 2015-03-21T21:25+0000
Brooklyn Beckham zooms in on pretty blonde after street kickabout with pals, The 16-year-old son of superstars David and Victoria appeared to take a closer look at the lady from behind, http://www.mirror.co.uk/3am/celebrity-news/brooklyn-beckham-zooms-pretty-blonde-5378937, <no image>, Teenagers-Celebrity kids-Victoria Beckham-Brooklyn Beckham-David Beckham, 2015-03-21T21:08+0000
West Brom goalkeeper Ben Foster ruled out for six months after damaging cruciate knee ligaments, Foster was forced off during last weekend's win over Stoke and will now play no further part in the Baggies' season, http://www.mirror.co.uk/sport/football/news/west-brom-goalkeeper-ben-foster-5378914, http://i1.mirror.co.uk/incoming/article5334655.ece/alternates/s615/West-Bromwich-Albion-v-Stoke-City-Premier-League.jpg, West Bromwich Albion FC-England football team-Ben Foster, 2015-03-21T20:59+0000
